L1,ID1,L2,ID2
fireCompany,1X1,municipalCourt,1X3
fireCompany,1X1,municipalCourt,1X9
fireCompany,1X10,municipalCourt,1X1
fireCompany,1X14,municipalCourt,1X9
fireCompany,1X15,municipalCourt,1X1
fireCompany,1X15,municipalCourt,1X2
fireCompany,8X151,municipalCourt,5X2
fireCompany,8X152,municipalCourt,5X2
fireCompany,8X153,municipalCourt,5X2
fireCompany,8X155,municipalCourt,5X1
fireCompany,8X156,municipalCourt,5X1
fireCompany,8X157,municipalCourt,5X1
fireCompany,8X158,municipalCourt,5X1
fireCompany,8X159,municipalCourt,5X2
fireCompany,3X16,municipalCourt,1X4
fireCompany,3X16,municipalCourt,1X9
fireCompany,8X160,municipalCourt,5X2
fireCompany,8X161,municipalCourt,5X2
fireCompany,8X162,municipalCourt,5X2
fireCompany,8X163,municipalCourt,5X1
fireCompany,8X163,municipalCourt,5X2
fireCompany,8X164,municipalCourt,5X2
fireCompany,8X165,municipalCourt,5X2
fireCompany,8X166,municipalCourt,5X1
fireCompany,8X166,municipalCourt,5X2
fireCompany,8X167,municipalCourt,5X2
fireCompany,8X168,municipalCourt,5X2
fireCompany,8X201,municipalCourt,3X5
fireCompany,11X202,municipalCourt,3X1
fireCompany,11X202,municipalCourt,3X3
fireCompany,11X205,municipalCourt,3X1
fireCompany,11X206,municipalCourt,3X3
fireCompany,11X207,municipalCourt,3X1
fireCompany,11X207,municipalCourt,3X3
fireCompany,3X21,municipalCourt,1X4
fireCompany,3X21,municipalCourt,1X9
fireCompany,11X210,municipalCourt,3X1
fireCompany,11X210,municipalCourt,3X2
fireCompany,11X210,municipalCourt,3X3
fireCompany,11X211,municipalCourt,3X3
fireCompany,15X214,municipalCourt,3X2
fireCompany,11X216,municipalCourt,3X3
fireCompany,11X217,municipalCourt,3X2
fireCompany,11X217,municipalCourt,3X3
fireCompany,11X217,municipalCourt,3X7
fireCompany,11X218,municipalCourt,3X3
fireCompany,11X218,municipalCourt,3X7
fireCompany,11X219,municipalCourt,3X2
fireCompany,11X219,municipalCourt,3X6
fireCompany,3X22,municipalCourt,1X6
fireCompany,3X22,municipalCourt,1X9
fireCompany,11X220,municipalCourt,3X1
fireCompany,11X220,municipalCourt,3X5
fireCompany,11X220,municipalCourt,3X6
fireCompany,11X221,municipalCourt,3X3
fireCompany,15X222,municipalCourt,3X2
fireCompany,15X222,municipalCourt,3X4
fireCompany,11X224,municipalCourt,3X1
fireCompany,15X225,municipalCourt,3X7
fireCompany,11X226,municipalCourt,3X1
fireCompany,15X227,municipalCourt,3X4
fireCompany,8X228,municipalCourt,3X5
fireCompany,11X229,municipalCourt,3X3
fireCompany,3X23,municipalCourt,1X3
